# SHERLOC detector known-noisy channel annotation table
#
# Curated list of detector CCD channels flagged as known-noisy for the
# analyst-visible badpix annotation layer (issue #9). This is an ANNOTATION
# asset only: it never masks, replaces, or alters spectral values.
#
# Full rebuild 2026-06-17 on a DARK-PLANE veto (all regions). The prior
# epsilon=(active-dark) rate criterion was inverted: it flagged active-only REAL
# Raman/fluorescence bands (e.g. the sulfate nu1 channels 129/130/131 and the
# carbonate nu1 apex 137) and missed true RTS defects whose active~dark
# excursions cancel in epsilon. A genuine defect must fire with the laser OFF;
# a spectral band cannot. tier-1 = dark |z|>4 rate >= max(0.5%, 6x region
# median) over 177,067 frames. JB25-attested channels preserved (external
# authority; stable hot pixels are dark-LEVEL, not RTS-rate).
#   Cross-ref: Jakubek et al. 2025, Appl. Spectrosc. 79(6), 904-918,
#   doi:10.1177/00037028241280081.
#
# Tier semantics:
#   tier 1 = dark-plane-confirmed flickering/RTS defect (CR-confusable).
#   tier 2 = JB25 stable hot pixel, dark-quiet (epsilon-quiet); raw-plane only.
#
# Source attribution (column `source`):
#   dark_veto = dark-plane-confirmed defect (2026-06-17 rebuild)
#   jb25      = published mission bad-pixel table (Jakubek et al. 2025), dark-quiet
#   both      = dark-confirmed AND JB25-attested
#
# region = detector region (R1 Raman, R2/R3 fluorescence) the channel falls in.
# channel = absolute CCD channel index (0-based, 0..2147).
region,channel,tier,source
R1,54,1,dark_veto
R1,55,1,dark_veto
R1,58,1,dark_veto
R1,61,1,dark_veto
R1,62,1,dark_veto
R1,63,1,dark_veto
R1,65,1,dark_veto
R1,66,1,dark_veto
R1,68,1,dark_veto
R1,69,1,dark_veto
R1,71,1,dark_veto
R1,74,1,dark_veto
R1,75,1,dark_veto
R1,83,1,dark_veto
R1,84,1,dark_veto
R1,87,1,dark_veto
R1,91,1,dark_veto
R1,94,1,dark_veto
R1,95,1,dark_veto
R1,97,1,dark_veto
R1,99,1,dark_veto
R1,103,1,dark_veto
R1,106,1,both
R1,108,1,both
R1,111,1,dark_veto
R1,113,1,dark_veto
R1,116,1,dark_veto
R1,120,1,dark_veto
R1,121,1,dark_veto
R1,123,1,dark_veto
R1,124,1,dark_veto
R1,125,1,both
R1,126,1,dark_veto
R1,128,1,dark_veto
R1,133,1,dark_veto
R1,136,1,dark_veto
R1,138,1,dark_veto
R1,139,1,dark_veto
R1,142,1,dark_veto
R1,144,1,dark_veto
R1,145,1,dark_veto
R1,146,1,dark_veto
R1,147,1,dark_veto
R1,148,1,dark_veto
R1,154,1,dark_veto
R1,157,1,dark_veto
R1,160,1,both
R1,165,1,dark_veto
R1,173,1,dark_veto
R1,174,1,both
R1,178,1,both
R1,180,1,dark_veto
R1,182,1,dark_veto
R1,184,1,dark_veto
R1,189,1,dark_veto
